"disease_type","image_count","percentage","avg_brightness","avg_contrast","avg_texture","avg_quality_score","avg_severity"
"NORMAL","1000","12.5","0.1796","1.1033","1136.2334","0.2395","5.33"
"DME","1000","12.5","0.1964","1.0547","1188.6555","0.2383","5.16"
"AMD","1000","12.5","0.3263","0.3483","211.7693","0.1537","2.17"
"DRUSEN","1000","12.5","0.1918","1.0631","1316.1974","0.2405","5.42"
"DR","1000","12.5","0.1926","0.6196","433.1826","0.1582","3.09"
"MH","1000","12.5","0.1892","0.6258","427.6539","0.158","3.08"
"CNV","1000","12.5","0.2015","1.0318","1675.2793","0.2455","5.37"
"CSR","1000","12.5","0.198","0.686","480.0786","0.1706","3.18"
